date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:43:45	52139/52139	---MCZ	200	added ('200')	text/html	date:Fri,%2031%20Jul%202026%2011:43:44%20GMT	https://sede.carm.es/jAD/IMAS_SC/FCFNValida.xhtml?URLParam.token=MEZCOKWUI29GK6GWLC62J9CDLKRF1DPAKX8IOFD5QXD2N8P43C	C:/Mis%20lugares%20Web/Web/sede.carm.es/jAD/IMAS_SC/FCFNValida2d32.html	(from )
13:43:45	197/197	---MCZ	200	added ('OK')	text/plain	etag:W/%2218f-59c03774e2c00%22	https://sede.carm.es/robots.txt		(from )
13:43:46	24339/24339	---MCZ	200	added ('200')	text/css	etag:W/%2224339-1784716788000%22	https://sede.carm.es/jAD/css/fonts.css	C:/Mis%20lugares%20Web/Web/sede.carm.es/jAD/css/fonts.css	(from https://sede.carm.es/jAD/IMAS_SC/FCFNValida.xhtml?URLParam.token=MEZCOKWUI29GK6GWLC62J9CDLKRF1DPAKX8IOFD5QXD2N8P43C)
13:43:46	7541/7541	---MCZ	200	added ('200')	text/css	etag:W/%227541-1784716788000%22	https://sede.carm.es/jAD/css/tinymce-content.css	C:/Mis%20lugares%20Web/Web/sede.carm.es/jAD/css/tinymce-content.css	(from https://sede.carm.es/jAD/IMAS_SC/FCFNValida.xhtml?URLParam.token=MEZCOKWUI29GK6GWLC62J9CDLKRF1DPAKX8IOFD5QXD2N8P43C)
13:43:46	24368/24368	---MCZ	200	added ('200')	application/javascript	etag:W/%2224368-1784716788000%22	https://sede.carm.es/jAD/js/jquery-validate.min.js	C:/Mis%20lugares%20Web/Web/sede.carm.es/jAD/js/jquery-validate.min.js	(from https://sede.carm.es/jAD/IMAS_SC/FCFNValida.xhtml?URLParam.token=MEZCOKWUI29GK6GWLC62J9CDLKRF1DPAKX8IOFD5QXD2N8P43C)
13:43:46	22661/22661	---MCZ	200	added ('200')	application/javascript	etag:W/%2222661-1784716788000%22	https://sede.carm.es/jAD/js/additional-methods.min.js	C:/Mis%20lugares%20Web/Web/sede.carm.es/jAD/js/additional-methods.min.js	(from https://sede.carm.es/jAD/IMAS_SC/FCFNValida.xhtml?URLParam.token=MEZCOKWUI29GK6GWLC62J9CDLKRF1DPAKX8IOFD5QXD2N8P43C)
13:43:46	86927/86927	---MCZ	200	added ('200')	application/javascript	etag:W/%2286927-1784716788000%22	https://sede.carm.es/jAD/js/jquery-latest.min.js	C:/Mis%20lugares%20Web/Web/sede.carm.es/jAD/js/jquery-latest.min.js	(from https://sede.carm.es/jAD/IMAS_SC/FCFNValida.xhtml?URLParam.token=MEZCOKWUI29GK6GWLC62J9CDLKRF1DPAKX8IOFD5QXD2N8P43C)
13:43:47	937/937	---MCZ	200	added ('200')	application/javascript	etag:W/%22937-1784716788000%22	https://sede.carm.es/jAD/js/calendar-es.js	C:/Mis%20lugares%20Web/Web/sede.carm.es/jAD/js/calendar-es.js	(from https://sede.carm.es/jAD/IMAS_SC/FCFNValida.xhtml?URLParam.token=MEZCOKWUI29GK6GWLC62J9CDLKRF1DPAKX8IOFD5QXD2N8P43C)
13:43:47	24355/24355	---MCZ	200	added ('200')	application/javascript	etag:W/%2224355-1784716788000%22	https://sede.carm.es/jAD/js/util.js	C:/Mis%20lugares%20Web/Web/sede.carm.es/jAD/js/util.js	(from https://sede.carm.es/jAD/IMAS_SC/FCFNValida.xhtml?URLParam.token=MEZCOKWUI29GK6GWLC62J9CDLKRF1DPAKX8IOFD5QXD2N8P43C)
13:43:47	2009/2009	---MCZ	200	added ('200')	application/javascript	etag:W/%222009-1784716788000%22	https://sede.carm.es/jAD/js/menu-responsivo.js	C:/Mis%20lugares%20Web/Web/sede.carm.es/jAD/js/menu-responsivo.js	(from https://sede.carm.es/jAD/IMAS_SC/FCFNValida.xhtml?URLParam.token=MEZCOKWUI29GK6GWLC62J9CDLKRF1DPAKX8IOFD5QXD2N8P43C)
